UniqueID,Q1_Response,Q2_Response,Q3_Response,DateLoaded,LoadedBy
N29-02,"I see primarily two groups as the main users of the CTFPHC guidelines:
Frontline providers (family physicians, nurses, etc.). They are the main providers of preventive and screening services.
Members of the public through all the clinical decision support tools developed by the CTFPHC.
The important points to consider, in my opinion, are:
Continue to develop guidelines that consider the reality of frontline practice.
Ensure that guidelines come from a rigorous process of evaluating evidence, including patient values and preferences
Guarantee the active participation of guideline users (family physicians, frontline clinicians, members of the public) in their drafting.
Maintain a rigorous and transparent systematic review process for each recommendation.
Ensure that expert opinions do not replace evidence but enrich the reflective process without being the sole basis.
Continue to rigorously manage conflicts of interest, both financial and intellectual.
Preserve the autonomy of the process, free from political interference or external pressures.
Require the same level of evidence for all communities, including those seeking health equity","I foresee a future mandate for the CTFPHC similar to what is currently in place. I repeat, the CTFPHC is 
a model of scientific rigor. Important points to consider for a mandate include:
Act as the national authority on preventive health guidelines, inspiring other national and international entities.
Remain the reference in preventive health for Canadian frontline practitioners.
Provide relevant tools for the frontline.
Continue to be an independent benchmark for preventive health, both for public policies and 
frontline clinicians.
Maintain the unique representativeness of the frontline, essential for addressing prevention 
and screening issues.
Highlight the gray areas and uncertainties surrounding recommendations.
Implement a plan that integrates equity issues at every stage of guideline development","I feel that the CTFPHC is already performing well in this area. I don't think much more can be done:
Strong representation of frontline actors, starting with family physicians and nurses.
Involvement of patients in the development of guidelines.
Support from various specialist physicians, including those working in public health.
Consultation with other stakeholders (e.g., other medical specialists such as radiologists, 
surgeons, etc.).
Continue discussions with various groups to establish or maintain fruitful collaboration.
In conclusion, the CTFPHC is a vital institution for our healthcare system. It is crucial to continue 
supporting its mandate and rigorous practices to ensure high-quality and equitable preventive 
healthcare for all Canadians. Science has a duty to be impartial and independent.",,
N29-03,"The CTFPHC needs to continue:
focusing on patient-centered outcomes. 
Utilizing
strong primary care provider representation in elaborating guidelines (ensuring their applicability and focus on high value care). It is especially important to have clinicians with whole-patient lens be implicated in developing guidelines for preventative
 care, as individuals cannot be divided into single systems or disease. Specialised medical societies focusing on one single system will bias importance to that system or disease, but individuals are complex. Guidelines for preventative health care should be
focused on health as a whole. 
Focusing tools on shared decision making. This implies transparency and clarity of such tool to present potential benefits but also potential harms allowing a decision to
 be made. 
Implicating experts, from various fields into guideline elaboration,
as free from commercial conflicts of interest as possible. ","The CTFPHC can collaborate in many ways with other societies to develop joint guidelines and make recommendations, while
remaining independent. 
They should never substitute specialized opinion without applying
family care lens 
They should never substitute guidelines from countries with strong private healthcare, without applying
Canadian universal health care lens. 
The CTFPHC can play an important role in developing and sharing guidelines with other countries with universal healthcare systems that place important focus on shared decision making.","The CTFPHC should continue implicating experts and patient partners from diverse fields, ensuring appropriate representativity of guideline-targeted groups in their taskforce.
Often medical literature and RCTs don’t have a good representativity of diversity, recommendations from the CTFPHC should be
transparent about the limitations of recommendation applicability that emerged from their literature review.",,
N29-04,"The Canadian Task Force on the Periodic Health Examination has been an incredibly valuable resource for health care providers, funders and administrators since 1979.  Its reviews are extensive and most importantly free of the conflicts of interest in many guideline producing bodies.
The Task Force strength arises from its careful review of the literature and its attention to all published articles on the topics it addresses.  It includes in its analysis guidelines issued by other professional bodies but weighs the degree to which they are compromised by conflicts of interest. Its recommendations may differ from those of other organizations but with carefully considered reasons","On the basis of its performance over the last 45 years, no change in its governance is needed.  The Task Force has been criticized for not bowing to the opinions of some subject matter experts but that reflects its independence from those sources when they show evidence of bias.
The Task Force is already transparent about its membership, methodology and conclusions.  It is accountable to the scientific literature.  The recommendations it makes are already independent which sometimes generates concern from those who wish it aligned with their interests.  It is already scientifically rigorous and timely. Because it takes the time to thoroughly research its recommendations it may not be as agile as other sources but its conclusions are more durable. The Board membership is inclusive by the criteria of gender, ethnic mix and generalist/specialist contributions.","The recommendations of the Task Force are appropriately conservative.  They are criticized by some groups who would like to see them more liberal.  More liberal recommendations may mean more investigations and more treatments but that leads to a conflict of interest for groups that would benefit by less restrictive recommendations. Most criticism comes from some specialist groups, pharmaceutical companies or disease organizations that receive support those groups. 
In conclusion, although some minor changes might improve the Task Force, no major changes are needed. If any improvement were to be made, it would be to increase its funding to enable it to do its research more quickly, to increase the number of topics it covers and to have more funds to disseminate its recommendations with their reasons.",,
N30-01,"The Task Force should structure itself and focus on healthcare challenges with due attention to holistic issues that have great potential for population health improvements. By stacking the Task Force with people trained in mainstream thinking, many important issues get little “air time” by the Task Force. This is a manifestation of a commitment to convention dogma intimately bred through big medicine and big pharma influence, and outdated university and residency training. I offer four examples of priorities, with content representation and Task Force interest lacking","Canada has led the world in developing and researching 24-hour movement guidelines – the
integration of physical activities, sedentary behaviours and sleep across the 24-hour day.
Integration into preventive health is seriously lacking despite great population attributable 
risk associated with very low levels meeting guidelines and unequivocal evidence of the 
importance of having healthy levels of these movement behaviours.
Screen time – especially recreational social media use, is a serious health issue recognized 
by governments around the world (but not Canada). Clinicians are aware of this because of 
the mental, emotional, physical, and social health manifestations that show up in their 
practice routinely – but they are woefully under-prepared to deal with this pervasive and 
progressive issue.
Outdoor time/play is undeniably linked with positive holistic health (social, emotional, 
mental, physical, spiritual) yet is absent in the preventive health universe in Canada. Talk with 
our Indigenous Elders about the centrality of this for individual and population wellbeing. ","Finally, “prevention” should be fundamentally upstream yet the focus of work hovers downstream as I illustrate in the figure below.
While mega-trends in the arrows at top are pushing the population towards illness thresholds and not meeting clinical and public health guidelines, attention is invariably focused on the two arrows furthest to the right, with little to no attention to the arrows on the left, and understanding the correlates, determinants, predictors, antecedents of wellness. The focus is on making the drain bigger rather than turning the tap down – read “ambulance in the valley",,
D02-01,"Frontline physicians need recommendations tailored to first-line patients.
Family doctors and frontline clinicians should play a central role in developing guidelines that apply to their patient population.
Too often, guidelines are influenced by expert opinions or shaped by external pressures (political or media-related). Guidelines should be based on scientific literature and free from any bias.","Guidelines should be developed by frontline clinicians who are experts in their patient populations. The CTFPHC should remain a leader in developing guidelines for frontline practitioners and must ensure its independence from external pressures and expert opinions, to maintain its credibility.
","The CTFPHC must ensure a rigorous, evidence-based process for developing its various guidelines. It is essential to make shared decision-making a central element of these guidelines and to include patients in the thinking process behind the design of these practice guides.",,
D04-01,"1. Clearer Organizational Structure
Formally house the Task Force within a well-defined entity, such as a non-governmental body like the Royal College of Physicians and Surgeons of Canada or Canadian Medical Association or the Office of the Chief Science Advisor. Guidelines should not be published by the organization housing the Task Force, however.
Streamline Task Force and evidence review to reduce siloed operations between evidence review panels and guideline development. This will allow for easier and more transparent expert oversight of evidence selection and handling.
2. Strengthening Accountability and Inclusivity
Maintain independence from government while ensuring accountability to the medical community and public, perhaps through the Royal College of Physicians and Surgeons of Canada (RCPSC) and the College of Family Physicians of Canada (CFPC) as well as patient advocacy groups and public consultation.
Establish a framework for experts to propose revisions or amendments to guidelines based on perceived errors or new landmark evidence.
Fund research to monitor population health outcomes to evaluate guideline impact. 
Vet guidelines through specialists, specialty societies, and primary care providers. This should include an option to perform an evidence-based veto on guidelines seen as dangerous or inappropriate.
Ensure balanced representation by involving both the Royal College of Physicians and Surgeons of Canada (RCPSC) and the College of Family Physicians of Canada (CFPC) in guideline development and review. Currently, only CFPC has meaningful involvement.
Acknowledge and work to correct biases and conflicts of interest, such as Task Force members choosing future Task Force members, Task Force paying for evidence review (and thus having the ability to have a strong influence on the evidence review process), CFPC as the sole physician body working with the Task Force, Canadian Medical Association Journal publishing all Task Force guidelines with a publication bias and little or no topic expert guidance in the peer review process.
3. Enhancing Transparency
Replace confidentiality agreements with an open public format (similar to NICE UK) or the Chatham House Rule which encourages transparency by allowing open dialogue while protecting speaker anonymity to build trust and align with scientific principles.
Publish a minority report where there is significant controversy or disagreement within the panel.
Include ethicists in development of new Task Force structure and also at the guideline development level. 
4. Expert-Led Guidelines Development
Topic experts who understand disease nuances and long term sequelae of late diagnosis should lead or co-lead guideline development panels. 
Topic experts should be involved and heeded in the evidence review process. Topic experts are more likely to understand the nuances of good and bad research. This will help avoid the current indiscriminate pooling of good and bad research in the evidence review process.
Recognize that specialty-led guidelines are historically better at anticipating future medical directions than non-expert guidelines. Guidelines are not simply formulaic academic meta-analyses that can be performed by non-experts. They inform practices that impact human lives. 
Avoid overemphasis on conflict of interest (COI) for non-corporate entities, such as physicians. Canadian specialists have long waitlists and are quite unlikely to be motivated to encourage increased inappropriate healthcare utilization. Recognize that even non-topic-experts may have biases and preconceptions. Excluding expertise does not exclude bias. Bias is a relatively small concern in comparison with topic expertise. 
5. Living Guidelines and Regular Updates
Frequently review and update guidelines to maintain relevance.
Work toward a ""living guidelines"" model that evolves with new evidence and medical advancements.
Adopt and adapt successful and safe international guidelines for Canadian needs, with expert endorsement, to improve efficiency and cost-effectiveness of guideline development.","1. Adequate Funding
Provide sufficient resources for paid panel involvement, evidence reviews, guideline updates, and responsiveness to emerging research. This is an investment in saved downstream healthcare costs. 
2. Expanded Scope
Include primary prevention strategies, such as guidelines on exercise, nutrition, and smoking cessation, alongside secondary prevention, such as screening.
3.Cost Considerations
Incorporate cost-effectiveness analyses into guideline development. These should include the costs of the intervention/screening as well as the downstream costs and savings associated with earlier disease detection and treatment.
Ensure cost analysis updates are revised promptly after major treatment advances, as flagged by content experts, to reflect modern treatment costs for efficient resource allocation. 
4. National Collaboration
Partner with specialists, primary care providers, patient representatives and public health organizations to harmonize guidelines. Prioritize broad acceptance of guidelines among content experts so as to avoid fragmentation of care and inequities between provinces.
5. International Collaboration
Collaborate with international guideline organizations such as NICE UK, European Commission and WHO while adapting evidence-based models to the Canadian context.
Draw on provincial Clinical Practice Guidelines to ensure national guidelines are harmonized and consider incorporating some of the evidence review work performed by provincial guideline groups. 
Evaluate foreign guidelines for relevance and effectiveness before adoption. Guidelines considered for adoption should be assessed for safety and favourable patient outcomes, keeping in mind that waiting for some outcomes, such as mortality, can take years to assess and surrogates for mortality may be preferable during the interim. 
6. Regular Updates
Embrace the concept of ""living guidelines"" for real-time updates based on landmark new evidence as recommended by content experts.
7. Public Engagement
Promote public awareness through accessible communication and education.
Involve public input to enhance guideline adoption and practicality.","1. Improving Subject-Matter Expert Involvement
Expand Expert Roles: Grant experts leadership roles such as co-chairing responsibility, voting rights and a structured process to ensure their feedback influences decisions and updates.
Enhance Transparency: Allow panel members or consulted experts to withdraw their names or include dissenting views in guidelines in a minority report.
Avoid Selection Bias: Use transparent processes to select diverse, unbiased or minimally biased experts. Where there are unavoidable biases, select members who represent the varying opinions. 
2. Ensuring Diversity in Panels
Representative Panels: Include diverse members to address racial, gender, and socioeconomic disparities. Guideline panels should include significant voting representation from relevant minorities, eg women of colour involved in breast screening guidelines, which may help avoid the current problem of a heavy preference for white-dominant RCT evidence.  
3. Addressing Bias in Evidence
Acknowledge Systemic Bias: Balance reliance on white-predominant RCTs with more diverse observational evidence to counter racial and gender biases. GRADE introduces a systematic form of racism by overwhelmingly favouring RCTs. 
Elevate Diverse Evidence: Recognize racial/socioeconomic differences in disease detection, treatment access and outcomes. Prioritize studies focusing on underrepresented populations where appropriate in order to address these inequities.
4. Engaging Equity-Deserving Communities
Integrate Lived Experiences: Involve representatives from equity-deserving communities to ensure guidelines address their unique needs.
Collaborate with Community Organizations: Partner with groups serving underserved populations for inclusive, accessible recommendations.
5. Establishing Transparent Processes
Feedback Mechanisms: Develop clear frameworks for incorporating expert and stakeholder input following guideline publication in order to gather information on guideline successes and failures. This should help signal the necessity to update guidelines that are failing.
Eliminate NDAs: Transparency necessitates the elimination of confidentiality agreements and NDAs in the development of a publicly funded scientific endeavour. As stated earlier, the Chatham House Rule should suffice to protect the identity of speakers/contributors. NDAs are unlikely to be enforceable but inhibit the involvement of those who feel that they will not be able to object to guidelines or guideline development processes publicly and may therefore suffer damage to their reputations or credibility. This is particularly concerning given the nearly universally poor reception of Task Force guidelines among topic experts. ",,
D05-01,"The broad membership of the Task Force is a strength but must become significantly more inclusive. The restriction of having content experts on the panel is a major limitation of the current process. Guidelines without the input of content experts lack any credibility. The concern that involving content experts leads to bias is misguided and can be easily mitigated. All panel members should be required to acknowledge conflicts of interest. Specific to prostate cancer the concern among non-experts that early detection leads to over-treatment is entirely false and fails to incorporate the experience of experts and the realworld clinical experience of active surveillance and disease risk stratification that only those who practice in the space can provide. The currently approved Prostate Cancer Screening guideline lacks specialist input and has led to the dissemination of misinformation amongst primary care providers and caused significant harm to patients due to delayed diagnoses. 
The current Task Force membership structure must be further expanded to include members-at-large or content experts who are brought on when a specific guideline is being considered for development. Ideally, the content expert should serve in a co-chair capacity. 
Furthermore, the core membership of the Task Force including the Chair, must include well-defined terms of office. Appropriate administrative support must be built into the group’s terms of reference and not be reliant on individual member’s institution to subsidize this activity.
Ideally the Task Force should operate independent of government, while ensuring credibility and accountability to the general public. The Public Health Agency of Canada (PHAC) may be an appropriate body for oversight of the Task Force’s mandate, however political interference must not be permitted. National organizations such as the Royal College of Physicians and Surgeons of Canada or the College of Family Physicians of Canada are two potential sponsoring bodies that could also be considered, and do not have direct political affiliations.
The current Task Force guideline process seems to overemphasize the utility of the highest level of evidence-based literature and the GRADE methodology in its development process. When randomized clinical trials have been published that are methodologically sound and reflective of contemporary clinical practice, this material deservedly should be incorporated into guideline recommendations. On the other hand, not all clinically important questions can be interrogated this way and lower levels of evidence such as large cohort studies can be equally informative. Moreover, marginalized populations are often underrepresented in 
randomized clinical trials, affecting the applicability of the findings. Again, the input from clinical experts in the space can be helpful in navigating the evidence to ensure clinically meaningful and valid data is being considered in the guideline writing process. 
Finally, to develop guidelines that are truly useful to Canadians, the Task Force needs to be adequately funded. Proper funding to develop comprehensive, regularly monitored and timely updated guidelines is an investment in downstream health care costs.","The mandate of the Task Force of the future should be to develop clinical 
practice guidelines incorporating evidence-based data with real-world expertise 
and the experiences of health care workers directly involved in patient care. 
Published guidelines should be considered living documents and the mandate of 
the Task Force should also include updating guidelines whenever new significant 
data becomes known, rather than waiting for a rigid 5–10-year interval before 
considering revisions. Ideally, the Task Force should monitor other national and 
international guideline development organizations for new guidelines that can 
be reviewed to be sure Canadian guidelines remain congruent with others. It is 
critical that Canadian guidelines are harmonized in their messaging to prevent 
confusion amongst clinicians and patients.
To ensure guidelines truly meet the health care needs of Canadians, the scope of 
the guideline topics should be expanded to cover primary disease prevention 
such as healthy eating, importance of physical exercise, safe alcohol use and 
smoking cessation. 
In addition, the guideline development process should incorporate costeffectiveness analyses to include the costs of the intervention/screening as well 
as the downstream costs and savings associated with earlier disease detection 
and treatment. This data exists for many disease entities and must be included to 
provide a balanced view of health care costs. Cost analysis updates must be 
regularly provided and revised promptly after major treatment advances, as 
identified by content experts, to reflect the most up-to-date treatment costs for 
efficient resource allocation.","As repeatedly stated, subject matter experts must be members of the guideline development process, not just as invited reviewers of a completed guideline. The Task Force should work with national medical specialty associations to identify key knowledge experts in a particular field. The selection of a guideline development panel should be transparent and reflect diversity, equity, and inclusion principles as well as regional representation whenever possible. Patient representation on panels should also be considered especially including 
underrepresented minorities to be sure all patient perspectives are being heard.
In addition, partnering with social organizations that support underserved populations and patient advocacy groups may help to identify subjects worthy of guideline development.
In closing, the Canadian Urological Association envisions a future Task Force that is more inclusive in its membership, more transparent in its actions, takes a wider panoramic view of clinical practice guideline development and implementation, and is agile at responding to an era where scientific data is changing rapidly. We foresee the potential to make the Canadian Task Force a truly useful source of 
information for clinicians and patients and an international leader in clinical practice guideline scholarship.",,
D05-02,"Governance – leadership. First and foremost, the overall Task Force (TF) methods should be maintained since they are second to none with respect to rigour and transparency (see figure below). The TF is recognized nationally and internationally for their leadership, particularly in areas of incorporating values and preferences, as well as harms and benefits, to create state of the art clinical preventive guidelines. 
Providing guidance for primary care providers should remain the mandate as it has been since the inception of the TF. The experience and perspectives of specialists differ.  The former aims to maximize the health of each individual in a holistic manner while the latter seek to minimize the illness from a single disease. Both are important to patients and the health care system; recognizing the difference in approach helps to understand why some specialist groups have difficulty with the recommendations of the TF and tend to minimize the impact of harms relative to benefits. Keeping the focus on primary care, with additional recognition of other affected groups/organizations (e.g., public health, cancer screening programs, etc.,), helps understand the potential for conflict with specialist groups and single disease advocates. Other groups in Canada such as Choosing wisely (focus on de-prescribing) and Alberta’s PEER group (focus on medical therapies) complement the TF but have less rigorous methods and address less complex topics (such as screening). 
Maintain the evidence review of effectiveness, including both benefits and harms, and translating the knowledge into tools that can be used by clinicians with their patients. The TF should maintain its international leadership in examining systematically (via evidence reviews) patient values and preferences. With additional funding, it would be good to expand knowledge translation tools for the public and patients given the primary care crisis in Canada.
Changes to governance/leadership include creating a permanent administrative home for the TF to reduce the administrative burden on the TF leadership and allow consistency of policies and procedures that currently differ between host-universities. Also, a chief operating officer (or similar title) should be funded from additional TF moneys to remove the administrative burden from the Chair, Vice-Chair, members and contributors. This would improve timeliness since the TF leadership could focus more exclusively on guideline development. Keeping the current structure of the TF members, independent ERSCs, contracts for KT and PHAC-based science team members is preferred. Consider adding communications personnel and perhaps a methodologist/researcher (e.g., to keep current and innovate guideline development with progress in AI and ) directly to a TF secretariate
Leadership: Primary care leadership/membership should be maintained since the mandate is appropriately directed to them. The current recruitment process is strong with respect to its criteria, yet would benefit from more outreach and involvement with primary care Colleges/universities. This could be managed by the COO position mentioned above, facilitated by TF members. The TF has become increasingly diverse over the past years and this should be continued and expanded. In addition, representation from varied practice types, across Canada, would be helpful although mandating membership from individual provinces/territories would be problematic if no primary care clinicians/methodologists are interested in this volunteer role. At one time, there was a concern of too many “academic” clinicians and that these members likely would experience a more resourced practice than most clinicians in Canada. Ensuring community-based primary care involvement, through compensation/honoraria, would help limit the financial burden of TF work. It is uncertain how compensation would affect membership, especially for diverse communities. Lack of compensation is a known key barrier to TF membership, particularly among rural providers. Continuing two 4-year member terms is except when the usual work of the TF is disrupted (e.g., pandemic, expedite breast cancer update, EER) and does not allow for the normal learning curve progression. 
Consider having the core TF as similarly structured, but bringing on additional “adjunct” primary care clinicians for different work groups. These could be voting adjunct members and would require conflicts of interest (COIs) to be negligible, or at least manageable. This would spread the work of the TF and potentially allow wider involvement, inclusiveness and timeliness
Accountability:  Regular evaluations such as the one done in 2022 and the current EER, as well as PHAC oversight provide accountability. Unfortunately, with the release of evidence-based recommendations that do not support some groups’ preferences, we are witness to the result: political responses (public berating, one-sided parliamentary committee studies, another review of the TF, ministerial pressure to come to consensus) and media vilification. If the TF is not independent, then it would be subject to political interference, pressure/intimidation and populism, rather than evidence.
Independence: It is necessary that the TF remains independent and evidence-based. Unfortunately, even though the TF is currently supposed to be independent, it has experienced interference from pressure groups and resultant political demands (e.g., expedition of the breast cancer screening recommendations). Never before has this occurred to the TF, and its structure and function does not enable a robust media, political or advocacy-like response. With the release of evidence-based recommendations that do not support some groups’ preferences, we are witness to the result: political responses (public berating, one-sided parliamentary committee studies, another review/evaluation of the TF, ministerial pressure to come to consensus with the pressure groups) and media vilification. The historical division between politics and guideline development should be re-established. If the TF is not independent, then it would be subject to further political interference, pressure/intimidation and populism, rather than evidence.
To enable more rapid guideline development, please consider the following:
•	Structural-timeliness/rigour: Continue with the science team employed by PHAC but increase the number and ensure science staff are dedicated to TF work such that they are not pulled to do other things in PHAC. Although having a dedicated TF scientific team would be useful, the benefits of being within PHAC are numerous for individuals (administrative support, language training, benefits, career opportunities) and the TF (e.g., networking with other governmental groups such as Statistics Canada). An example of the problem of having inadequate/dedicated science team, is the inability to advance the TF’s re-affirmation procedure to improve guideline timeliness. Approximately nine guidelines went through the process in 2022 with most recommended for re-affirmation. Unfortunately, there was/is insufficient science staff to complete the process, and they have had to rely on student placements (who have fortunately been quite skilled). As a result, only one older guideline has been officially reaffirmed.
•	Structure: Funding and training for computer-assisted guideline development programs (e.g., GRADE-Pro) and use of AI. GRADE-Pro is planned to be piloted with an upcoming guideline, but greater computer-assisted tools would help to complete more routine tasks. Consider adding additional funding to allow for “real-time” and/or “rapid reviews” for existing guidelines to expedite the reaffirmation/sunset/full update process.
•	Governance/Leadership-timeliness, agility: Compensate TF members (that are not salaried) so that they can carve out the necessary time and not be negatively impacted financially. An example of funding from PHAC that could be examined is the Canadian Guidelines for Post-COVID-19 Condition. Compensation was discussed in the 2022 review as eloquently stated, “The lack of compensation for members affects the Task Force's ability to recruit new members. Without such compensation, some health care professionals such as rural and remote physicians are unable to participate. The lack of compensation has also limited the amount of time that members can devote to Task Force activities, affecting overall timeliness.”
Structure-transparency, rigour:  Maintain and continue the TF’s work towards transparency, including publication of all key documents, stakeholder/interest holder comments and responses, as well as the Evidence to Decision Framework. This effort should be continued to include all that could influence the TF and its development (e.g., interest holders, clinical experts, patient partners, etc.,). All clinical experts and patient partners should continue to be identified in the recommendation, whether they agreed or not with the recommendation, for transparency. Codify that meetings between the TF and other groups (e.g., medical societies, colleges) should have a public agenda and minutes to prevent unrecognized lobbying/advocacy on guideline topics. 
Increase transparency on guideline topic selection and progress. An example is the TF’s recent posting of guidelines that are in progress and the stage of development – topics under examination had not been public before until after the protocols were published. 
Structure- inclusiveness: Diversification was identified in the 2022 Evaluation with one of the following recommendation: “Examine potential compensation for Task Force members, which may help to diversify its current composition.” Although the compensation issue was declined by PHAC, efforts have been made to enhance diversification and inclusiveness. This is ongoing and includes involvement of diverse patient/public participation (e.g., TF-Public Advisors Network). For an example on inclusivity, a TF Fellow and members with specific expertise in this area as well as the Knowledge Translation Team have provided input to several developing guidelines to ensure more inclusive language expertise is used. Following the release of the Equity in Guideline systematic review (which included TF members), the TF was developing an equity plan. The draft plan included a review of all methods and was to be finalized with the TF and incorporated into the methods manual. Unfortunately, Science Team staff and the TF were pulled to other priorities and this remains pending. Resources to obtain input, interest holder consultation and finalization of the plan so that it can be actioned would be helpful.  
Expansion of stakeholders/interest holders to specifically support diversity across guidelines could be beneficial. ","The mandate of the TF should remain “to develop clinical practice guidelines that support primary care providers in delivering preventive health care.” There is no other group that does this in Canada. As above, the nature of the primary care differs from specialist care, especially given the often decades long relationship between providers and patients/clients. Most often primary care includes family doctors/GPs, nurse practitioners, and nurses, but is also open to include a wide-variety of more specialized care as offered by mid-wives, obstetricians, pediatricians, therapists, etc. Primary care providers see the breadth and depth of health and illness and deserve guidelines that represent their practices with relative consistency and rigorous methods across topics. As is currently done, the TF’s mandate focuses on preventive health care at an individual clinician-patient/client level to promote personalized care that is sensitive care to the individual and their reality. “Organized” population-based prevention focuses on broad health promotion/disease prevention activities that is helpful, but cannot substitute for individualized care. Even online “risk prediction” tools, which aim to personalize care, are rarely validated with respect to patient-important o
While understanding that millions of Canadians do not have a primary care provider, this is not a reason to change the mandate of the TF. The solution to the primary care crisis will ot flow from a change in the TF mandate. If anything, the results of the TF guidelines help primary care providers to focus on what works, the tools to engage for shared decision-making and what not to do. 
The main barrier for more collaboration with other guideline development internationally is time given the current volunteer nature of the TF membership. The TF does liaise with USPSTF, the UK and other groups, and are active in the Guideline International Network (GIN) but it can be episodic on both sides. The exception is for review of guideline recommendations, where wide consultation/input is sought. For national guideline developers in particular, it is important to ensure COIs are managed to allow unbiased expertise is shared. For example, clinical experts who worked on Osteoporosis Canada’s guidelines were also intentionally part of the TF’s working group on fragility fractures to promote cross-fertilization. This preserved the integrity of the TF’s processes so that it would not be seen as an osteoporosis advocacy group, nor be influenced by industry or other COIs (e.g., bone density clinics). It should be distinguished (and as noted above) that the TF bases its decisions on evidence, and shouldn’t be influenced by advocacy, pressure groups, political interference, individuals with important COIs or the “loudest voice”. Hence collaboration with other national groups must be in line with the TF methods. To date, the least conflicted Canadian guideline group appears to be Alberta’s PEER, which the TF has worked with frequently (e.g., a former TF member is in a leadership role with PEER). ","The Task Force engages interest holders at many different points including from topic selection, feedback on systematic reviews and guidelines (including associated disposition tables), peer review for systematic reviews and guidelines (again with disposition tables), patient partners and subject matter experts (SMEs) contribution to guideline working groups, engagement in webinars, TF-Public Advisory Panel, consultation on guideline implementation, user testing and more. In particular, seeking input from equity-deserving communities and other groups has been part of interest holder outreach but could be broadened. As noted above, completing the draft, consulting on and finalizing the TF’s Equity Plan would codify the results of the systematic review into TF methods. This would ensure equity principles are considered throughout the TF and guideline methods. In addition to enacting the Equity Plan, a more formalized approach to the assessment of “Equity” as one of the GRADE domains would be beneficial. Leveraging the work of the EER to identify additional interest holders and individuals to provide input would be valuable. 
Other possibilities could be to consider developing “round table” equity-deserving groups (or similar) to consult specifically with the TF as guidelines are developed. Again, COI management is important as is ensuring the TF remains evidence-based. Identifying evidence gaps, language, and systematic issues and barriers/enablers to guideline implementation would strengthen the TF’s recommendations. ",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
